Optimizer1,Optimizer2,Optimizer3,Optimizer4
0.979020979,0.958041958,0.968531469,0.979020979
0.993006993,0.961538462,0.986013986,0.98951049
0.979020979,0.972027972,0.975524476,0.979020979
0.986013986,0.965034965,0.982517483,0.968531469
0.98951049,0.975524476,0.986013986,0.975524476
0.986013986,0.972027972,0.98951049,0.979020979
0.975524476,0.979020979,0.968531469,0.965034965
0.961538462,0.965034965,0.975524476,0.968531469
0.986013986,0.965034965,0.98951049,0.972027972
0.978947368,0.975438597,0.978947368,0.968421053
0.982517483,0.940559441,0.986013986,0.982517483
0.982517483,0.965034965,0.986013986,0.982517483
0.986013986,0.975524476,0.986013986,0.972027972
0.986013986,0.972027972,0.975524476,0.975524476
0.98951049,0.965034965,0.98951049,0.979020979
0.975524476,0.965034965,0.982517483,0.965034965
0.972027972,0.968531469,0.968531469,0.965034965
0.982517483,0.968531469,0.968531469,0.961538462
0.993006993,0.944055944,0.986013986,0.979020979
0.978947368,0.975438597,0.975438597,0.968421053
0.982517483,0.968531469,0.979020979,0.996503497
0.986013986,0.951048951,0.975524476,0.965034965
0.982517483,0.979020979,0.98951049,0.993006993
0.982517483,0.958041958,0.98951049,0.972027972
0.98951049,0.958041958,0.982517483,0.979020979
0.972027972,0.965034965,0.961538462,0.958041958
0.98951049,0.979020979,0.986013986,0.968531469
0.979020979,0.961538462,0.979020979,0.972027972
0.979020979,0.965034965,0.968531469,0.958041958
0.989473684,0.975438597,0.978947368,0.971929825
